pair,family,tight_rate,tight_count,mean_signal_ret_tight,total_signal_ret,pair_quality_score
SNACKPACK_PISTACHIO__SNACKPACK_VANILLA,SNACKPACK,0.03323333333333333,997,0.8201005025125628,816.0,189.42725831331146
SNACKPACK_RASPBERRY__SNACKPACK_VANILLA,SNACKPACK,0.03323333333333333,997,0.74321608040201,739.5,171.6996090964385
UV_VISOR_ORANGE__UV_VISOR_YELLOW,UV_VISOR,0.033633333333333335,1009,0.6277335984095428,631.5,146.57614064953734
TRANSLATOR_SPACE_GRAY__TRANSLATOR_VOID_BLUE,TRANSLATOR,1.0,30000,0.021136904163735638,631.0,139.86101919263044
SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY,SNACKPACK,0.03323333333333333,997,0.24371859296482412,242.5,56.52782268093712
GALAXY_SOUNDS_PLANETARY_RINGS__GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,0.03326666666666667,998,0.09396984924623115,93.5,22.001281141842703
SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA,SNACKPACK,0.03323333333333333,997,-0.04974874371859297,-49.5,-11.138498512878575
SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY,SNACKPACK,0.03323333333333333,997,-0.07989949748743719,-79.5,-18.09051781361306
PEBBLES_L__PEBBLES_M,PEBBLES,0.0791,2373,-0.038818565400843885,-92.0,-19.4999861606942
UV_VISOR_ORANGE__UV_VISOR_RED,UV_VISOR,0.03326666666666667,998,-0.21206030150753769,-211.0,-48.56655958212632
GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,0.034333333333333334,1030,-0.29892891918208375,-307.0,-70.65037573485661
PEBBLES_S__PEBBLES_XS,PEBBLES,0.7646,22938,-0.01740443977407067,-397.5,-74.48995397305305
SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO,SNACKPACK,0.03323333333333333,997,-0.4105527638190955,-408.5,-94.3309961450013
MICROCHIP_OVAL__MICROCHIP_RECTANGLE,MICROCHIP,1.0,30000,-0.01929454326198372,-576.0,-108.54191292385916
MICROCHIP_CIRCLE__MICROCHIP_SQUARE,MICROCHIP,0.5511333333333334,16534,-0.038393672041375115,-631.0,-125.62550172460985
SNACKPACK_PISTACHIO__SNACKPACK_STRAWBERRY,SNACKPACK,0.03323333333333333,997,-0.8030150753768844,-799.0,-184.82311404289524
PEBBLES_S__PEBBLES_XL,PEBBLES,0.028566666666666667,857,-1.1135831381733021,-951.0,-222.51399232878424
OXYGEN_SHAKE_GARLIC__OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,0.03403333333333333,1021,-1.1597836774827925,-1179.5,-272.61833960978726
GALAXY_SOUNDS_BLACK_HOLES__GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,0.03333333333333333,1000,-1.2254016064257027,-1220.5,-282.51726791401114
PANEL_2X4__PANEL_4X4,PANEL,1.0,30000,-0.07880280038857067,-2352.5,-474.1490454051713
TRANSLATOR_ECLIPSE_CHARCOAL__TRANSLATOR_VOID_BLUE,TRANSLATOR,1.0,30000,-0.08890228787726527,-2654.0,-536.1983279512539
GALAXY_SOUNDS_BLACK_HOLES__GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,0.03576666666666667,1073,-2.3901869158878504,-2557.5,-589.4369181898982
UV_VISOR_RED__UV_VISOR_YELLOW,UV_VISOR,0.03326666666666667,998,-2.973366834170854,-2958.5,-685.2993753098928
OXYGEN_SHAKE_CHOCOLATE__OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,0.17206666666666667,5162,-0.6859086491739553,-3529.0,-753.3598530587795
SLEEP_POD_COTTON__SLEEP_POD_SUEDE,SLEEP_POD,1.0,30000,-0.12878102703245906,-3844.5,-781.2055281871121
GALAXY_SOUNDS_BLACK_HOLES__GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,0.033633333333333335,1009,-3.5462226640159047,-3567.5,-825.808579731683
TRANSLATOR_ECLIPSE_CHARCOAL__TRANSLATOR_SPACE_GRAY,TRANSLATOR,1.0,30000,-0.14062238301008273,-4198.0,-853.9565112054873
PEBBLES_L__PEBBLES_XS,PEBBLES,0.2204,6612,-0.8021337772397095,-5300.5,-1123.1208707215696
ROBOT_IRONING__ROBOT_MOPPING,ROBOT,1.0,30000,-0.20247546310253575,-6044.5,-1233.969778937963
OXYGEN_SHAKE_EVENING_BREATH__OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,0.3382,10146,-0.6980217606330366,-7057.0,-1478.3278855240624
PANEL_2X2__PANEL_4X4,PANEL,1.0,30000,-0.27496399021873846,-8208.5,-1679.3251601310728
OXYGEN_SHAKE_CHOCOLATE__OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,0.17363333333333333,5209,-1.5288665765591813,-7918.0,-1692.2071691643816
PANEL_1X2__PANEL_1X4,PANEL,0.8317666666666667,24953,-0.36151122555725435,-8985.0,-1845.7885213332877
PEBBLES_L__PEBBLES_S,PEBBLES,0.18203333333333332,5461,-1.6818431659948698,-9179.5,-1958.3654869824006
OXYGEN_SHAKE_MINT__OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,0.14666666666666667,4400,-2.591997264021888,-11368.5,-2444.166980981101
ROBOT_MOPPING__ROBOT_VACUUMING,ROBOT,1.0,30000,-0.4078652061769336,-12176.0,-2495.8443259738006
TRANSLATOR_ASTRO_BLACK__TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,1.0,30000,-0.41831641711050815,-12488.0,-2560.0545288075577
ROBOT_IRONING__ROBOT_LAUNDRY,ROBOT,1.0,30000,-0.42258734465547854,-12615.5,-2586.294275157891
MICROCHIP_OVAL__MICROCHIP_TRIANGLE,MICROCHIP,1.0,30000,-0.42789669379961814,-12774.0,-2618.9138814051685
PANEL_1X2__PANEL_4X4,PANEL,0.8317666666666667,24953,-0.5273597811217511,-13107.0,-2696.386819267156
SLEEP_POD_LAMB_WOOL__SLEEP_POD_POLYESTER,SLEEP_POD,1.0,30000,-0.4541084648109068,-13556.5,-2779.9538933199597
PEBBLES_M__PEBBLES_XS,PEBBLES,0.18513333333333334,5554,-4.669634744684718,-25697.0,-5485.553959665567
SLEEP_POD_COTTON__SLEEP_POD_LAMB_WOOL,SLEEP_POD,1.0,30000,-0.9328543194988779,-27848.5,-5721.275107743216
TRANSLATOR_ASTRO_BLACK__TRANSLATOR_SPACE_GRAY,TRANSLATOR,1.0,30000,-1.006917227749305,-30059.5,-6176.303179747821
SLEEP_POD_LAMB_WOOL__SLEEP_POD_SUEDE,SLEEP_POD,1.0,30000,-1.2504438414899675,-37329.5,-7672.483226547223
ROBOT_DISHES__ROBOT_MOPPING,ROBOT,1.0,30000,-1.3583056979198072,-40549.5,-8335.16544810074
PANEL_1X4__PANEL_2X2,PANEL,1.0,30000,-1.4524168425283892,-43359.0,-8913.365976502795
SLEEP_POD_COTTON__SLEEP_POD_POLYESTER,SLEEP_POD,1.0,30000,-1.5184571064884602,-45330.5,-9319.104485755204
SLEEP_POD_POLYESTER__SLEEP_POD_SUEDE,SLEEP_POD,1.0,30000,-1.546628479549794,-46171.5,-9492.183910701326
SLEEP_POD_LAMB_WOOL__SLEEP_POD_NYLON,SLEEP_POD,1.0,30000,-2.148393796268382,-64136.0,-13189.312720980262
PANEL_1X4__PANEL_2X4,PANEL,1.0,30000,-2.284561015643319,-68201.0,-14025.897575208539
SLEEP_POD_COTTON__SLEEP_POD_NYLON,SLEEP_POD,1.0,30000,-2.4258031018658093,-72417.5,-14893.661422158977
PANEL_1X4__PANEL_4X4,PANEL,1.0,30000,-2.664723813352092,-79550.0,-16361.54370328645
